A47J17/14 厨房用具;家用剥皮、取筋或削皮的用具或机械;剥皮机械;
A01D29/00 农业;林业;畜牧业;收获;割草;花生收获机;
A47K3/00 家庭用的物品或设备;未列入其他类目的卫生设备;盥洗室辅助用具;浴缸;淋浴器;
A24B5/16 烟草;纸烟;吸烟或嚼烟的制造或制备;烟草;烟叶除梗;弄弯、切丝、烘丝;
A24B5/02 烟草;吸烟或嚼烟的制造或制备;烟草;烟叶除梗;抽梗;通过拔出烟梗;
A23K30/00 其他类不包含的食品或食料;专门适用于生产动物饲料原料的保存方法;
A41D27/08 服装;衣饰配件;衣服的零件或其制作;修饰品;装饰物;
A63B69/02 体育锻炼、体操或击剑用的器械;击剑用的;
A01B3/00 农业;一般农业机械或农具的部件、零件或附件;装有固定式犁铧的犁;
A01B3/04 农业;一般农业机械或农具的部件、零件或附件;犁;畜力牵引犁;
A43B21/00 鞋类;鞋类的特征;鞋类的部件;鞋跟;
A24C1/00 烟草;雪茄烟;纸烟;制造雪茄烟的部件;
A01K29/00 农业;畜牧业;狩猎;畜牧业;畜牧业用的其他设备;
A23F5/00 食品或食料;咖啡;咖啡;咖啡代用品;
A01F7/00 农业;林业;畜牧业;脱粒;脱粒设备;
A23G1/00 食品或食料;可可;可可;可可制品;
B23B39/02 机床;金属加工;车削;镗削;镗、钻床组;镗床;卧式镗铣组合机床;
B21D19/16 基本上无切削的金属机械加工;金属冲压;冲压金属;折缘或其他边缘处理，如管的;管端反向装缘;
B62M19/00 作业;运输;无轨陆用车辆;专门适用于这些交通工具的传动装置;以使用非机械传动，例如液力传动为特点的传动装置;
B01J37/04 一般的物理或化学的方法或装置;化学或物理方法，例如，催化作用或胶体化学;其有关设备;制备催化剂之一般方法;混合;
B22C17/02 铸造;铸造造型;以模型从铸型中分离的机构或翻转型箱或模板的机构为特征的制造铸型或型芯的造型机;带顶杆装置的造型机;
B29K223/00 塑料的加工;一般处于塑性状态物质的加工;涉及成型材料或涉及用于增强材料、填料或预型件;用聚烯烃增强;
B41B19/00 印刷;排版机;制版、排字或拆版还字用的机器或附件;照相或光电排字装置;光电排字机;
B60T8/172 运输;一般车辆;调节车轮制动力的装置;调节过程中控制参数的确定，例如通过对测量或检测的参数的计算;
B60L7/22 一般车辆;一般车辆的电力制动系统;与动态电能量回收式制动联用的动态电阻制动;
B60L7/22 一般车辆;一般车辆的电力制动系统;与动态电能量回收式制动联用的动态电阻制动;
B65D30/04 包装;贮存;用于物件或物料贮存或运输的容器;麻袋、袋或类似容器;以使用的材料为特点的;用织物制作的;
B42D7/00 装订;图册;文件夹;特种印刷品;没有另作规定的特殊格式或风格的印刷品;报纸或类似的物品;
B24B25/00 磨削;抛光;用于磨削或抛光的机床、装置或工艺;磨具磨损表面的修理或调节;磨削，抛光剂或研磨剂的进给;万能磨床;
B24B47/00 磨削;抛光;用于磨削或抛光的机床、装置或工艺;磨削，抛光剂或研磨剂的进给;磨削机床或装置的驱动或传动装置;及其设备;
