TG386.43 金属学;金属;压力;钣金;加工;各种;型材;冷冲压;工艺;管材;冲压;
TH137.33 仪表;工业;机械;零件;传动装置;液压;装置;动力式;传动;
TQ426.68 化学;工业;试剂;纯化学品;生产;触媒;制备;工艺;催化剂;成型;方法;
TG231.66 金属学;金属;工艺;铸造;材料;制备;造型;设备;造芯;机械;
TQ325.1 工业;技术;化学;合成;聚合类;树脂;聚烯烃类;塑料;
TS803.2 轻工业;手工业;印刷;工业;一般性;问题;机械;设备;排版;
U462.3+2 交通;运输;公路;运输;汽车;工程;整车;设计;计算;性能;制动性;
U260.352 交通;运输;铁路;机车;工程;一般性;问题;构造;制动;装置;电控;装置;
U463.52+3 交通;运输;公路;汽车;工程;结构;部件;制动;系统;操纵;装置;电力式;
TS125.6 轻工业;手工业;纺织;工业;染整;麻纺织;麻织;工艺;麻袋;缝制;
TS892 轻工业;手工业;印刷;工业;技术;应用;报纸;
TG583 工业;技术;金属学;金属;工艺;切削;加工;机床;磨削;磨床;万能;
TG580.23+2 金属学;金属;工艺;切削;加工;机床;磨削;加工;磨床;设计;制造;维修;结构;液压;传动;系统;装置;
TH218 机械;仪表;工业;起重;机械;运输;各种;用途;起重机;
TG580.23+1 金属学;金属;工艺;切削;加工;机床;磨床;设计;制造;维修;结构;机械;
TH236 机械;仪表;工业;起重;机械;运输;自动;扶梯;
U260.331+.7 铁路;运输;机车;工程;构造;走行;部分;转向架;连接;装置;
TG335.4+1 金属学;金属;工艺;压力;加工;轧制;工艺;型材;角钢;
TU642+.1 建筑;科学;施工;机械;设备;混凝土;砂浆;搅拌机;搅拌车;搅拌机;
TU642+.2 建筑;科学;施工;机械;设备;混凝土;砂浆;搅拌机;搅拌车;混凝土;搅拌机;
TU642 建筑;科学;施工;机械;设备;混凝土;砂浆;搅拌机;搅拌车;
TD534 工业;技术;矿业;工程;矿山;运输;设备;矿井;提升;提升机;
N64 自然;科学;参考;工具书;表解;图解;谱录;数据;公式;图册;
TG714 金属学;金属;工艺;刀具;磨料;磨具;夹具;模具;手工具;铣刀;
TH237+.2 机械;仪表;工业;起重;运输;运输机械;输送机;辅助设备;抛料机;
U262.43 交通;运输;铁路;机车;工程;内燃机车;牵引;电机;电器;牵引电器;
U469.5+2 交通;运输;公路;汽车;工程;各种;挂车;
TK414.4 能源;动力;工程;内燃机;汽油机;构造;传动装置;驱动装置;
TG61+9 金属学;金属;工艺;切削;加工;机床;齿轮;其他;
U463.83+6 公路;运输;汽车;工程;结构;部件;驾驶室;车身;构件;座椅;
V223+.6 航空;航天;飞机;构造;设计;机身;座舱;座舱盖;整流片;整流罩;
V228.8 航空;航天;飞机;构造;设计;动力;装置;发动机;整流罩;螺旋桨;帽;桨轴;
TG596 金属学;金属;工艺;切削;加工;机床;磨削;磨床;程序;控制;数控;
TS885 轻工业;手工业;印刷;工业;装订;技术;装帧;过程;设备;
TH218 机械;仪表;工业;起重;运输;各种;用途;起重机;
U482.1 公路;运输;其他;道路;工具;电车;有轨;
TG454 金属学;金属;工艺;焊接;切割;钎焊;
TS951.12 其他;轻工业;手工业;文教;用品;制造;工业;笔;铅笔;
TG457.11 金属学;金属;工艺;焊接;切割;材料;钢;
TG457.12 金属学;金属;工艺;焊接;切割;材料;铸铁;
TG457.14 金属学;金属;工艺;焊接;切割;材料;铝;
TS815 印刷;工业;凸版;过程;设备;
TG233.1+3 工业;技术;金属学;金属;工艺;铸造;机械;设备;压力;铸造机;真空;压铸机;
TH138.52+2 工业;技术;机械;零件;传动;装置;气压;元件;控制阀;流量阀;
TS852 工业;技术;轻工业;手工业;印刷;特种印刷;按;油墨;分;
G863.2 体育;水上;冰上;雪上;运动;雪车;雪橇;雪犁;
TG375+.9 金属学;金属;工艺;压力;加工;挤压;机械;设备;压制;自动化;
TG580.692 金属学;金属;工艺;切削;加工;机床;磨削;磨床;抛光;
TJ61+7 工业;技术;武器;水中兵器;水雷;探雷;扫雷;设备;
TS951.5+8 文教;用品;制造;工业;簿册;活页;印制;卡片;
TQ320.5+2 合成;树脂;塑料;工业;机械;设备;制品;加工;成型;设备;
U676.6+2 交通;运输;水路;船舶;工程;航海;技术;管理;救助;打捞;沉船;
TG379 工业;技术;金属学;工艺;压力;加工;挤压;有色金属;合金;
TG580.68 金属学;金属;工艺;切削;加工;机床;磨削;磨床;研磨;
TG315.3+9 金属学;金属;工艺;压力;加工;锻造;锻压;锻工;机械;设备;锻锤;
U463.341+.7 公路;运输;工程;汽车;结构;部件;车轮;轮胎;充气;设备;
TG519.2 金属;切削;加工;机床;车削;车床;旋床;联合;
TQ426.65 化学;工业;试剂;纯化学品;生产;催化剂;制备;工艺;载体;
U463.46 交通;公路;运输;汽车;工程;结构;部件;系统;转向;系;零部件;
TG659 金属学;金属;工艺;切削;加工;机床;程序;控制;
O643.36+4 化学;物理;理论;物理学;动力学;催化;作用;催化剂;种类;
O652.62 分析;化学;作业;方法;技术;分离;溶剂;萃取法;
TB752+.24 真空;技术;获得;设备;真空泵;机械;离心;
U260.9+2 交通;运输;机车;工程;各种;用途;货运;
TS833 轻工业;印刷;工业;凹版;印版;制作;
TS871.1 印刷;工业;其他;孔版;丝网;
U261.2 交通;运输;铁路;机车;工程;蒸汽;蒸汽机;部分;
U484 交通;运输;公路;其他;道路;工具;自行车;
TS803.6 轻工业;手工业;印刷;工业;一般性;问题;机械;设备;
TG292 金属学;金属;工艺;铸造;有色;轻金属;
TQ126.4 化学;工业;非金属;元素;及其;无机;化合物;砷;无机化合物;
TF741.8 冶金;工业;炼钢;电炉;直接;还原;
TQ613.3 化学;工业;染料;中间体;各种;结构;合成;靛系;
X703.1 环境;科学;安全;废物;处理;综合;利用;废水;技术;方法;
O623.76+3 化学;有机;脂肪族;氮;化合物;氰酸;异氰酸;衍生物;
TS912+.3 工业;技术;轻工业;手工业;五金;制品;原材料;辅料;铝;铝合金;
O626.5 化学;有机化学;杂环化合物;七节;杂环;
O623.75+2 化学;有机;无环;化合物;脂肪族;含氮;羟氨;联氨;衍生物;肼类;
TF803.13+1 冶金;工业;有色金属;冶炼;金属;提炼;火法;热还原法;铝热法;
TQ645.9+3 化学;工业;油脂;蜡;加工;产品;副产品;利用;蜡;
TQ522.16 工业;技术;化学;炼焦;煤;高温;干馏;过程;
TQ326.56 工业;技术;化学;合成树脂;塑料;聚合类;树脂;聚醚类;聚硫醚;
TQ326.8+2 化学;工业;合成;树脂;聚合类;焦油系;石油树脂;
O626 数理;科学;化学;有机;杂环化合物;
TQ316.6+4 化学;工业;高分子;化合物;高聚物;生产;过程;改性;处理;交联法;
S141.1 农业;科学;基础;肥料学;农家;肥料;人;粪;尿;
TQ136.1+2 化学;工业;金属;元素;无机;化合物;铬;副族;钼;无机化合物;
TQ440.2+2 化学;工业;肥料;一般性;问题;化肥;种类;组成;性质;肥效;有机;
[TU992.3] 市政;工程;排水;污水;污泥;处理;利用;
TQ645.6 化学;工业;油脂;蜡;加工;产品;副产品;脂肪酸;
O633.13 化学;高分子;高聚物;杂链;聚合物;链上;含;氧;环氧树脂;
TF724.2 冶金;工业;炼钢;氧气;转炉炼钢;顶吹;法;炉型;结构;
{TF724.9} 冶金;工业;炼钢;氧气;转炉炼钢;顶吹;法;废气;除尘;
TF713.1 冶金;工业;炼钢;转炉;熔炼;过程;操作;吹炼;
TV432+.1 水利;工程;水工;材料;混凝土;砂浆;水泥;
TQ314.2 化学;工业;高分子;化合物;高聚物;原料;辅助;材料;合成;
O627.41+3 化学;有机;元素;化合物;Ⅳ族;硅;氧;烷;
TQ615.5 工业;技术;化学;染料;中间体;各种;性能;合成;活性;
TQ131.1+2 化学;工业;金属;元素;无机;化合物;碱;钠;
TQ031.8 化学;工业;一般性;问题;反应;过程;一般;卤化;卤化剂;
O629.29 化学;有机;天然;化合物;类固醇;甾族;其他;
TQ444.9 化学;工业;肥料;复合;混合;
TQ171.6+3 化学;工业;硅酸盐;玻璃;生产;过程;设备;成型;工艺;
O632.14 化学;高分子;高聚物;碳链;不饱和烃;二烯烃;聚合物;
O626.5 化学;有机;杂环;化合物;七节杂环;
TS912+.4 五金;制品;工业;原材料;辅料;铜;合金;
TU512.1 金属;材料;有色;稀有;铜;合金;
TQ426.65 化学;工业;试剂;纯化学品;生产;制备;工艺;催化剂;载体;
TQ613.1+4 化学;工业;染料;中间体;各种;结构;合成;偶氮;四偶氮;
TQ613.1+3 化学;工业;染料;中间体;各种;结构;合成;偶氮;三偶氮;
TQ613.1+2 化学;工业;中间体;各种;结构;合成;偶氮;双偶氮;染料;
O633.22+1 化学;高分子;杂链;聚合物;聚酰胺;内酰胺;缩合;作用;
TG146.2+4 金属学;金属;工艺;材料;有色;轻有色;其;合金;铍;
O626.3 化学;有机;杂环;化合物;单异;原子;六节;
O782+.8 化学;晶体学;晶体;生长;工艺;固相;反应;应变;退火法;
